STATEFP,year,unempP,povP,pciE
01,2018,6.6,17.5,26846
02,2018,7.4,10.8,35874
04,2018,6.5,16.1,29265
05,2018,5.5,17.6,25635
06,2018,6.7,14.3,35021
08,2018,4.7,10.9,36415
09,2018,6.5,10.0,43056
10,2018,5.9,11.9,33989
11,2018,7.4,16.8,53321
12,2018,6.3,14.8,30197
13,2018,6.4,16.0,29523
15,2018,4.5,9.9,34035
16,2018,4.7,13.8,26772
17,2018,6.6,13.1,34463
18,2018,5.4,14.1,28461
19,2018,3.9,11.7,31085
20,2018,4.4,12.4,30757
21,2018,6.1,17.9,26948
22,2018,6.9,19.4,27027
23,2018,4.6,12.5,31253
24,2018,5.6,9.4,40517
25,2018,5.4,10.8,41794
26,2018,6.5,15.0,30336
27,2018,3.9,10.1,36245
28,2018,8.2,20.8,23434
29,2018,5.1,14.2,29537
30,2018,4.2,13.7,29765
31,2018,3.5,11.6,31101
32,2018,6.9,13.7,29961
33,2018,4.0,7.9,38548
34,2018,6.1,10.4,40895
35,2018,7.2,20.0,26085
36,2018,6.0,14.6,37470
37,2018,6.3,15.4,29456
38,2018,2.8,10.9,35373
39,2018,5.8,14.5,30304
40,2018,5.3,16.0,27432
41,2018,6.0,14.1,32045
42,2018,5.8,12.8,32889
44,2018,6.1,13.1,34619
45,2018,6.4,16.0,27986
46,2018,3.5,13.6,29801
47,2018,5.9,16.1,28511
48,2018,5.4,15.5,30143
49,2018,3.9,10.3,28239
50,2018,4.1,11.2,33238
51,2018,5.0,10.9,37763
53,2018,5.3,11.5,36888
54,2018,6.7,17.8,25479
55,2018,4.0,11.9,32018
56,2018,4.5,11.1,32295
72,2018,17.0,44.5,12451
